"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"BT2,BT3,BT1";"BH23APC";3;"BH23APC";;;
2;"C7,C5,C6,C8,C9";"SMD-0805";5;"100nF/50V";;;
3;"C2";"CP_Radial_D10.0mm_P5.00mm";1;"470uF/50V - GT470/50";;;
4;"C4";"SMD-0805";1;"4u7/50V";;;
5;"R2,R4,R6,R8";"SMD-0805";4;"12k";;;
6;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
7;"R1,R3,R5,R7";"SMD-0805";4;"4k7";;;
8;"RV1,RV2,RV3,RV4";"Potentiometer_Bourns_3296W_Vertical";4;"3296W-10k";;;
9;"C3";"TantalC_SizeC_Reflow";1;"-";;;
10;"J1,J2,J3,J4,J5";"Straight_2x01";5;"HEADER_2x01_PARALLEL";;;
11;"C1";"FIR_1806";1;"EMI_Filter_C";;;
12;"J6";"Straight_1x02";1;"JUMP2_2x1";;;
